state,lx,ly,seed,center_j,split,n_in,n_out,mpo_bond,col_eff_rank99,col_top_eta_frac,col_decades,svd2_eff_rank99,svd2_top_eta_frac,svd2_decades,col_spectrum,svd2_spectrum
random,4,4,0,0,right,3072,16,12,13,0.7902529157233121,1.1001008266062529,16,0.5504959083000055,1.574647433713491,1;0.877477;0.602631;0.423834;0.407547;0.349209;0.319757;0.265307;0.205712;0.175421;0.153888;0.145778;0.11415;0.0925327;0.0851678;0.0794144,1;0.97478;0.874843;0.81618;0.736614;0.706772;0.619519;0.606064;0.496837;0.480406;0.375367;0.32131;0.258778;0.246034;0.217482;0.144163;0.109504;0.104881;0.0936836;0.0883992;0.0797286;0.0513975;0.0375711;0.0266289
random,4,4,1,0,right,3072,16,12,14,0.799730927562546,1.2012410194594745,19,0.5617483740554687,1.232897564736414,1;0.676774;0.560295;0.454752;0.332639;0.302088;0.265741;0.217614;0.207202;0.195217;0.170227;0.153262;0.129212;0.121322;0.0822114;0.0629157,1;0.956389;0.941219;0.907269;0.708644;0.670374;0.607784;0.548331;0.515206;0.485957;0.403378;0.365469;0.334085;0.31066;0.206088;0.188979;0.178968;0.156784;0.145162;0.122788;0.105468;0.0986742;0.0647505;0.0584928
random,4,4,2,0,right,3072,16,12,14,0.7323061008287904,1.0520454777622223,18,0.4946234402093109,1.380088755160095,1;0.523625;0.463173;0.455636;0.376972;0.351079;0.332932;0.220837;0.204873;0.198771;0.180375;0.160268;0.153537;0.113349;0.105431;0.0887063,1;0.98759;0.914721;0.869086;0.824116;0.759042;0.725456;0.610014;0.584467;0.511113;0.454632;0.398117;0.360248;0.307545;0.287932;0.276296;0.205366;0.197412;0.157256;0.109586;0.0940218;0.080225;0.0682925;0.0416784
random,4,4,3,0,right,3072,16,12,13,0.8130610340936679,1.2775267311482013,17,0.5261988089099021,1.4875825209013829,1;0.754156;0.594417;0.50288;0.379997;0.361272;0.238197;0.210701;0.181181;0.154181;0.136887;0.126786;0.116292;0.0946296;0.0857127;0.0527805,1;0.953583;0.894219;0.873792;0.769434;0.736705;0.720204;0.661594;0.564767;0.487153;0.384166;0.301263;0.257381;0.217502;0.177262;0.17107;0.141285;0.11659;0.102968;0.0953689;0.0825221;0.0613261;0.0421494;0.03254
random,5,4,0,0,right,24576,32,12,24,0.6221979376886378,1.4754519747466541,18,0.5163236700323012,1.5537452518675325,1;0.788996;0.697447;0.598135;0.563544;0.48756;0.389527;0.351016;0.311091;0.279869;0.26593;0.241172;0.231748;0.217538;0.199521;0.192498;0.168425;0.161181;0.15667;0.136118;0.129868;0.115279;0.104387;0.10194;0.0929644;0.0818293;0.0737784;0.0710272;0.0595105;0.0579958;0.0544703;0.0334617,1;0.995459;0.940959;0.854176;0.776366;0.708441;0.669745;0.637437;0.551405;0.503237;0.436976;0.413293;0.355373;0.314536;0.272507;0.263787;0.223305;0.168754;0.138639;0.122445;0.0843188;0.0767039;0.063124;0.0279418
random,5,4,1,0,right,24576,32,12,22,0.7336398935511016,1.491736336319439,15,0.5766411466560973,1.7669920801986176,1;0.96658;0.638654;0.526755;0.417331;0.38026;0.343656;0.319198;0.272814;0.214588;0.206625;0.200719;0.173692;0.160194;0.148643;0.139947;0.131637;0.128803;0.117307;0.113045;0.0946702;0.0933036;0.0875796;0.0738704;0.0694087;0.0603503;0.0519038;0.0515555;0.046626;0.0397309;0.0390446;0.0322302,1;0.967577;0.923056;0.847748;0.716446;0.677699;0.620501;0.607951;0.482168;0.430973;0.388677;0.336055;0.225552;0.1892;0.170635;0.131529;0.103235;0.0841093;0.0826792;0.0549818;0.047434;0.0394101;0.022617;0.0171005
random,5,4,2,0,right,24576,32,12,29,0.5296269495188294,1.0788449200094836,18,0.5356741021525223,1.389302838143213,1;0.837059;0.807915;0.63263;0.542187;0.466177;0.452954;0.424524;0.410401;0.389336;0.374002;0.353791;0.32229;0.316792;0.281368;0.279386;0.265177;0.262065;0.243799;0.235942;0.224424;0.213952;0.201336;0.198154;0.190895;0.179689;0.16059;0.158542;0.134959;0.125764;0.108047;0.0833979,1;0.96077;0.938908;0.917912;0.850517;0.759053;0.640858;0.594844;0.459928;0.412084;0.410854;0.371961;0.322344;0.302126;0.225679;0.205654;0.200043;0.155286;0.14792;0.121515;0.0947305;0.0754956;0.0574581;0.0408035
random,5,4,3,0,right,24576,32,12,25,0.6492645865248345,1.3938121392493765,19,0.5153369723204209,1.3175526712530874,1;0.852419;0.679819;0.601819;0.493297;0.418581;0.37864;0.33492;0.298354;0.279712;0.275003;0.254145;0.237162;0.210664;0.208763;0.200948;0.184665;0.167444;0.155376;0.147336;0.13163;0.125257;0.116187;0.109972;0.106081;0.0961972;0.0797234;0.0762471;0.0693087;0.0579738;0.0530982;0.040382,1;0.936532;0.887934;0.860575;0.758755;0.692261;0.674892;0.56177;0.518074;0.491536;0.432748;0.417626;0.354589;0.331067;0.265656;0.226234;0.213301;0.185227;0.152884;0.132171;0.10288;0.0886979;0.0846696;0.0481335
random,6,4,0,0,right,196608,64,12,47,0.5079415360831069,1.6679051058913144,17,0.5497080001687098,1.3756118102006534,1;0.605784;0.584351;0.551425;0.49635;0.438638;0.382433;0.363395;0.320623;0.311093;0.301325;0.288493;0.269035;0.260815;0.236221;0.222962;0.213864;0.203975;0.197633;0.195309;0.190915;0.179758;0.172747;0.16422;0.159133;0.149224;0.145868;0.137089;0.134167;0.131453;0.129014;0.124175,1;0.960066;0.925777;0.887486;0.817907;0.731192;0.648951;0.560693;0.474801;0.433647;0.430217;0.326226;0.274477;0.263722;0.169529;0.156387;0.151462;0.13805;0.116797;0.0903215;0.0850225;0.0643364;0.047742;0.0421103
random,6,4,1,0,right,196608,64,12,48,0.4275761260481092,1.4516130064647523,17,0.4921619517724294,1.5971461626083743,1;0.916299;0.871342;0.666265;0.616524;0.601279;0.568829;0.519036;0.481446;0.471517;0.422356;0.415947;0.393943;0.380635;0.364505;0.342019;0.336455;0.31978;0.31246;0.29131;0.287091;0.276268;0.263127;0.238094;0.231127;0.226446;0.211712;0.206439;0.199228;0.195233;0.185807;0.181685,1;0.959071;0.936304;0.832182;0.816199;0.771478;0.730873;0.709084;0.578484;0.552088;0.473698;0.391228;0.293831;0.257418;0.178668;0.171573;0.167951;0.12993;0.0989921;0.0888672;0.062409;0.0431924;0.0419814;0.0252845
