state,lx,seed,eta_target,n_moves,local_eps,sweep_max_eps,global_eps,matched,local_useful,local_flops,global_fact_flops,global_prop_flops,ratio_fact,ratio_prop,prop_multiplier,eta_q,ell,q,chi_sk,final_bond,r_bond,n_out,near_full_rank,degenerate_lx3
compass,4,0,4,3,0.016320183259695118,2.17962356447559,0.01917831701533112,0,1,76745578.0,61421016.0,211204568.0,1.2495003013300854,0.36337082444163804,3.4386368340113425,8,12,1,4,8,8,16,0,0
compass,4,2,4,3,0.010525294543189557,1.4977128555740715,0.009999124659677845,1,1,76729194.0,26245144.0,136588312.0,2.9235577446250627,0.5617551961547047,5.204327017599903,8,8,0,4,8,8,16,0,0
compass,5,1,4,3,0.006552335166444826,2.484611382807969,0.03783189015259408,0,1,152695338.0,214471808.0,566803584.0,0.7119599513983674,0.2693972697250976,2.642788295979675,8,10,1,8,8,8,32,0,0
compass,4,3,4,3,0.0016716095077754125,1.8491087122138652,0.005408858565380368,0,1,76703594.0,53101312.0,191552256.0,1.4444764377949832,0.4004316921226968,3.6072979891720944,8,10,1,4,8,8,16,0,0
compass,5,2,4,3,0.02045537481020826,2.416553011448836,0.03142432532356261,0,1,152687146.0,253899480.0,652216024.0,0.6013684864577116,0.23410517433101274,2.5687962180938695,8,12,1,8,8,8,32,0,0
compass,5,3,4,3,0.004751715650145248,2.382679331555203,0.022966326623944308,0,1,152695338.0,253899480.0,652216024.0,0.6014007511949218,0.23411773458666205,2.5687962180938695,8,12,1,8,8,8,32,0,0
compass,4,1,4,3,0.00036992534869091317,2.1640767753333403,0.0020961675742086406,0,1,76683114.0,162751232.0,411548416.0,0.4711676406848951,0.1863282933884503,2.528696163725507,8,10,1,8,8,8,16,0,0
compass,5,0,4,3,0.008446051153874,2.159843568324926,0.027867302308234972,0,1,152682026.0,84177624.0,302892760.0,1.8138077406413846,0.5040794834448997,3.5982574181471314,8,12,1,4,8,8,32,0,0
compass,6,1,4,3,0.033511767167212936,2.204203154411691,0.0697941779233504,0,1,228665578.0,146912472.0,510351576.0,1.5564749192975256,0.44805500512454577,3.473847856838186,8,12,0,8,8,8,64,0,0
compass,6,2,4,3,0.021704017108132745,6.285832722806537,0.042805966708821176,0,1,246232810.0,145534424.0,508973528.0,1.6919214247207932,0.48378313694931496,3.4972724253885117,8,12,0,8,8,8,64,0,0
compass,6,3,4,3,0.01704658010168504,6.935816940572295,0.05412155855744482,0,1,253559018.0,260305792.0,716172160.0,0.9740813527499227,0.3540475770518642,2.7512724726463254,8,10,1,8,8,8,64,0,0
compass,6,0,4,3,0.00848597877984512,3.250702508505462,0.05854942080974628,0,1,235901930.0,125139072.0,455176320.0,1.8851181028416129,0.5182649440111472,3.637363716425834,8,10,0,8,8,8,64,0,0
