chi,eta,d,p,n1,n2,n3,k1,k2,first_rows,first_cols,second_rows,second_cols,first_cost_model,second_cost_model,local_cost_model,trial,ensemble,noise,oversample,n_power,sketch,mode,first_method,second_method,rel_error,first_iso_defect,second_iso_defect,first_time_s,second_time_s,total_time_s,rank_first,rank_second
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,0,noisy_ring,0.0001,6,1,gaussian,det,svd,svd,0.00010443977352021631,5.288329072543088e-15,1.6470424279975107e-15,0.0068637909716926515,0.0004677909892052412,0.007331581960897893,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,0,noisy_ring,0.0001,6,1,gaussian,rand_first,rsvd-gaussian,svd,0.00010443960860388869,4.678718285243766e-15,2.0872397391553698e-15,0.0008920830441638827,0.0004389170208014548,0.0013310000649653375,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,0,noisy_ring,0.0001,6,1,gaussian,rand_second,svd,rsvd-gaussian,0.00010443977352021168,5.288329072543088e-15,1.5161424602961912e-15,0.0006568340468220413,0.0002607920323498547,0.000917626079171896,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,0,noisy_ring,0.0001,6,1,gaussian,rand_both,rsvd-gaussian,rsvd-gaussian,0.00010443996548092818,5.6531781433491465e-15,1.0239839194037712e-15,0.0008124160231091082,0.00024374999338760972,0.001056166016496718,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,1,noisy_ring,0.0001,6,1,gaussian,det,svd,svd,0.00010473241855641518,4.193747616100655e-15,1.573736500571798e-15,0.006861749978270382,0.00045833399053663015,0.007320083968807012,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,1,noisy_ring,0.0001,6,1,gaussian,rand_first,rsvd-gaussian,svd,0.00010473214097874051,5.4864534486851424e-15,1.8753413349539514e-15,0.0008855420164763927,0.0004426250234246254,0.0013281670399010181,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,1,noisy_ring,0.0001,6,1,gaussian,rand_second,svd,rsvd-gaussian,0.00010473241855641893,4.193747616100655e-15,1.3579736471908284e-15,0.0006655000033788383,0.00026062503457069397,0.0009261250379495323,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,1,noisy_ring,0.0001,6,1,gaussian,rand_both,rsvd-gaussian,rsvd-gaussian,0.00010473212232234844,5.437004429191695e-15,1.2204557150912719e-15,0.001000499993097037,0.0002775830216705799,0.001278083014767617,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,2,noisy_ring,0.0001,6,1,gaussian,det,svd,svd,0.00010447337677537352,5.280472246954638e-15,1.8856691648674705e-15,0.0006952499970793724,0.0004315829719416797,0.0011268329690210521,16,4
4,4,2,2,32,8,16,16,4,32,128,32,64,131072,65536,196608,2,noisy_ring,0.0001,6,1,gaussian,rand_first,rsvd-gaussian,svd,0.00010447378693550954,4.9809583774924856e-15,1.2882095206698665e-15,0.0008167499909177423,0.0004248750046826899,0.0012416249956004322,16,4
