chi,eta,d,p,n1,n2,n3,k1,k2,first_rows,first_cols,second_rows,second_cols,first_cost_model,second_cost_model,local_cost_model,lx,mode,rel_error,runtime_s,max_local_error,mean_local_error,max_first_iso_defect,max_second_iso_defect,trial,ensemble,noise,oversample,n_power,sketch
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,det,0.00013606259314449457,0.029781458026263863,9.646924544782026e-05,9.621040171484745e-05,7.63167563695998e-15,2.149928579069753e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_first,0.00013621898491489876,0.029299541958607733,9.652551764489558e-05,9.632114169851513e-05,8.513198635259791e-15,3.935224681863048e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_second,0.00013672476866800678,0.018246833991724998,9.690239114409216e-05,9.667874875383123e-05,7.63167563695998e-15,2.5682447693840164e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_both,0.00013719463986474963,0.017677083960734308,9.723925480769645e-05,9.701101348581022e-05,9.067736332850151e-15,3.396695015679734e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,det,0.0001365953781674375,0.029658083978574723,9.684877756600375e-05,9.658709826943778e-05,7.785025777834214e-15,2.2966830491432457e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_first,0.0001367796171244972,0.028775291983038187,9.703414263738365e-05,9.671726668783004e-05,8.322408870292273e-15,2.2090606065588715e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_second,0.0001373206601169898,0.01784583297558129,9.730322631650949e-05,9.710017655642532e-05,7.785025777834214e-15,3.848682872678397e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_both,0.0001374213548348357,0.017252458026632667,9.74945425299229e-05,9.71710385900388e-05,9.421808088295076e-15,2.714114418089013e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,det,0.00013701064340067813,0.028867750021163374,9.720512805956049e-05,9.688058329338035e-05,7.91240531920947e-15,2.6532212579924917e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_first,0.00013684010392013004,0.02873474999796599,9.686838869459411e-05,9.676050203146665e-05,1.0223955889556812e-14,3.142327216782933e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_second,0.0001377309009522277,0.017871999996714294,9.770138192222092e-05,9.738995333497734e-05,7.91240531920947e-15,2.5994757668601488e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,2,rand_both,0.00013759667588205193,0.01752470899373293,9.730817428103922e-05,9.729557505190527e-05,7.763589429077617e-15,3.2869095207432514e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,det,0.0001934218253122081,0.05846145801478997,9.700820248793509e-05,9.671069646221512e-05,8.784550942387698e-15,3.230692259323299e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_first,0.00019353341696854473,0.056838208984117955,9.717848341401946e-05,9.676634064449693e-05,8.909087739624051e-15,2.7953929760416365e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_second,0.00019439645651264596,0.035331749997567385,9.742455650050225e-05,9.719811087443774e-05,8.784550942387698e-15,3.304915142729127e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_both,0.00019447894913980483,0.03459237498464063,9.776826133986308e-05,9.72389848201626e-05,8.479769230782469e-15,3.5995377675458195e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,det,0.0001928187657678764,0.05862412496935576,9.678838132691615e-05,9.640910061696595e-05,8.608196467013427e-15,3.247567331974655e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_first,0.0001932786366669149,0.056921917013823986,9.719665020245763e-05,9.663864057505134e-05,9.138816313616996e-15,3.19469815212189e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_second,0.0001938357135579759,0.03580933401826769,9.728845131676114e-05,9.691754561814202e-05,8.608196467013427e-15,3.1755478384042197e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_both,0.00019421462603719158,0.03501291701104492,9.743212533218438e-05,9.710698163390795e-05,9.028077750083112e-15,3.3549727331232802e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,det,0.00019330740163358098,0.05792737496085465,9.675801576581553e-05,9.665368685488617e-05,7.862842369079822e-15,4.114574898832459e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_first,0.00019351836515552718,0.057311708049383014,9.699237266542807e-05,9.675888417667235e-05,9.056607044973964e-15,3.334227763470415e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_second,0.0001941740244882274,0.035545249993447214,9.719477091682147e-05,9.70869801526793e-05,7.862842369079822e-15,3.160415631705649e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,4,rand_both,0.0001944436905382015,0.03445724997436628,9.751984272772076e-05,9.722164026207534e-05,8.951685200805258e-15,3.0076630713387785e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,det,0.00023706662335453566,0.08667887502815574,9.707933413626092e-05,9.678182229110468e-05,8.3266465601581e-15,3.2202723286108626e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_first,0.00023684876645695566,0.08567833295091987,9.72244080389632e-05,9.669267179229694e-05,8.711467886748243e-15,3.2887993512594593e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_second,0.0002382483987560589,0.053537708008661866,9.76647923492248e-05,9.726412291922938e-05,8.3266465601581e-15,4.137841959984204e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_both,0.00023795130281082288,0.05219312501139939,9.748293119506934e-05,9.714292399303164e-05,8.910269240277732e-15,2.9233528622199496e-15,0,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,det,0.0002367568768681016,0.08633862499846146,9.705646369378289e-05,9.665517880140036e-05,8.620663779137796e-15,3.4870100767029525e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_first,0.00023691374001033258,0.08503520902013406,9.700847843050773e-05,9.671933428468716e-05,8.815672418551614e-15,3.744386394690061e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_second,0.00023792276060102496,0.05385558301350102,9.750769042807856e-05,9.713114872488708e-05,8.620663779137796e-15,3.145653172356178e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_both,0.00023794942438195777,0.051955875009298325,9.748107926654622e-05,9.714197303664076e-05,9.084883162941863e-15,3.3165332578664804e-15,1,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,det,0.0002369277323332735,0.08696287497878075,9.712262709706446e-05,9.672508243628717e-05,8.081985259280563e-15,3.535202882602658e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_first,0.0002370879783207143,0.0849255410139449,9.714968840070523e-05,9.679047942638274e-05,9.478246198948464e-15,4.416072133215395e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_second,0.00023830762196664149,0.05333358404459432,9.773870926433344e-05,9.72884054763992e-05,8.081985259280563e-15,3.3127328493328568e-15,2,noisy_ring,0.0001,6,1,gaussian
4,8,2,2,64,16,32,32,8,64,512,128,128,2097152,2097152,4194304,6,rand_both,0.00023844963325857124,0.05149062495911494,9.771860655476547e-05,9.734637078474823e-05,8.957009030639114e-15,3.2148521366289447e-15,2,noisy_ring,0.0001,6,1,gaussian
