method,l_sites,phys_dim,mps_bond,mpo_bond,target_bond,rel_error_exact,runtime_s,peak_product_bond,final_max_bond,chi,eta,d,p,trial,oversample,n_power,sketch
zipup_svd,8,4,4,4,4,0.031717708757706804,0.0008217500289902091,16,4,4,4,2,2,0,6,1,gaussian
randomized,8,4,4,4,4,0.03172935639705401,0.0013178330264054239,16,4,4,4,2,2,0,6,1,gaussian
zipup_svd,8,4,4,4,4,0.02711959064559283,0.0008759999764151871,16,4,4,4,2,2,1,6,1,gaussian
randomized,8,4,4,4,4,0.027151106248792724,0.0016107920091599226,16,4,4,4,2,2,1,6,1,gaussian
zipup_svd,8,4,4,4,4,0.03704997162792962,0.0005724999937228858,16,4,4,4,2,2,2,6,1,gaussian
randomized,8,4,4,4,4,0.03705625019252449,0.0010752920061349869,16,4,4,4,2,2,2,6,1,gaussian
zipup_svd,8,4,6,4,6,0.027588183367303884,0.0011280420003458858,24,6,4,6,2,2,0,6,1,gaussian
randomized,8,4,6,4,6,0.027588766172260356,0.0015338750090450048,24,6,4,6,2,2,0,6,1,gaussian
zipup_svd,8,4,6,4,6,0.030396883712276775,0.0010452090064063668,24,6,4,6,2,2,1,6,1,gaussian
randomized,8,4,6,4,6,0.030380343451899647,0.0014291249681264162,24,6,4,6,2,2,1,6,1,gaussian
zipup_svd,8,4,6,4,6,0.028600473367893606,0.001220541016664356,24,6,4,6,2,2,2,6,1,gaussian
randomized,8,4,6,4,6,0.028610891387189526,0.0016194169875234365,24,6,4,6,2,2,2,6,1,gaussian
zipup_svd,8,4,8,4,8,0.028688894823120207,0.0019410409731790423,32,8,4,8,2,2,0,6,1,gaussian
randomized,8,4,8,4,8,0.0287156297889693,0.0020524999708868563,32,8,4,8,2,2,0,6,1,gaussian
zipup_svd,8,4,8,4,8,0.030652644588529655,0.001913582964334637,32,8,4,8,2,2,1,6,1,gaussian
randomized,8,4,8,4,8,0.030722929234998763,0.002136875002179295,32,8,4,8,2,2,1,6,1,gaussian
zipup_svd,8,4,8,4,8,0.026953607316287726,0.0018855839734897017,32,8,4,8,2,2,2,6,1,gaussian
randomized,8,4,8,4,8,0.026940889606097855,0.002051624993328005,32,8,4,8,2,2,2,6,1,gaussian
zipup_svd,8,4,10,4,10,0.029525673311323105,0.002798417001031339,40,10,4,10,2,2,0,6,1,gaussian
randomized,8,4,10,4,10,0.02962668727630661,0.002592083008494228,40,10,4,10,2,2,0,6,1,gaussian
zipup_svd,8,4,10,4,10,0.03002838170342464,0.002778708003461361,40,10,4,10,2,2,1,6,1,gaussian
randomized,8,4,10,4,10,0.030039948722892836,0.0027103330357931554,40,10,4,10,2,2,1,6,1,gaussian
zipup_svd,8,4,10,4,10,0.031917457412696415,0.0024521250161342323,40,10,4,10,2,2,2,6,1,gaussian
randomized,8,4,10,4,10,0.03190770627511909,0.0022561249788850546,40,10,4,10,2,2,2,6,1,gaussian
